run,episode,reward,avg10_reward,steps,rooms,duration_s,train_steps,avg_loss,epsilon,buf_size
1,1,-1063.11,-1063.11,559,5,20.1,332,1.955007,0.050000,395
1,2,-1108.94,-1086.02,306,3,11.4,605,2.610882,0.050000,668
1,3,1010.81,-387.08,1953,3,139.0,2515,1.277769,0.050000,2578
1,4,-1520.59,-670.46,351,4,14.3,2703,1.612996,0.050000,2766
1,5,-1370.84,-810.53,313,3,11.7,2973,1.698386,0.050000,3036
1,6,-1229.04,-880.29,348,3,32.8,3208,2.131958,0.050000,3271
1,7,-972.20,-893.42,300,3,11.2,3477,2.415862,0.050000,3540
1,8,-744.22,-874.77,462,3,20.3,3892,2.454145,0.050000,3955
1,9,-1413.85,-934.66,537,4,19.8,4358,2.626301,0.050000,4421
1,10,-209.71,-862.17,939,4,32.9,5208,2.759368,0.050000,5271
1,11,270.71,-728.79,1250,7,44.5,6230,2.793350,0.050000,6293
1,12,-969.60,-714.85,395,3,14.4,6594,3.302661,0.050000,6657
1,13,-631.84,-879.12,1165,4,40.7,7661,3.056914,0.050000,7724
1,14,-1142.51,-841.31,762,5,27.6,8254,3.274844,0.050000,8317
1,15,-1018.91,-806.12,608,6,23.1,8598,3.491168,0.050000,8661
1,16,-729.79,-756.19,706,6,29.2,8941,3.596087,0.050000,9004
1,17,-1171.08,-776.08,458,3,16.5,9354,3.956255,0.050000,9417
1,18,-1604.80,-862.14,308,4,12.2,9591,3.764329,0.050000,9654
1,19,-250.14,-745.77,458,3,16.5,10006,3.892698,0.050000,10069
1,20,-267.19,-751.51,663,4,24.0,10571,3.776096,0.050000,10634
1,21,-979.62,-876.55,476,3,17.1,11000,3.842047,0.050000,11063
1,22,-463.89,-825.98,728,3,25.6,11685,4.117159,0.050000,11748
1,23,780.13,-684.78,2297,4,78.7,13870,3.482299,0.050000,13933
1,24,-282.11,-598.74,562,5,21.0,14278,3.678248,0.050000,14341
1,25,-186.72,-515.52,1137,4,39.5,15308,4.009201,0.050000,15371
1,26,-638.66,-506.41,846,4,30.1,15990,4.092992,0.050000,16053
1,27,-789.16,-468.22,1628,6,59.6,17359,3.830347,0.050000,17422
1,28,6172.82,309.55,6301,7,216.3,23455,3.262105,0.050000,23518
1,29,1504.75,485.04,2659,4,90.2,26033,3.528661,0.050000,26096
1,30,178.21,529.58,753,3,26.4,26753,3.385641,0.050000,26816
1,31,-1257.54,501.78,290,3,10.9,27000,3.435201,0.050000,27063
1,32,491.06,597.28,1189,3,40.9,28156,3.674552,0.050000,28219
1,33,-157.37,503.53,1016,5,35.7,29040,3.384378,0.050000,29103
1,34,-243.18,507.42,1026,5,36.7,29891,3.473408,0.050000,29954
1,35,-39.96,522.10,617,3,21.8,30479,3.332880,0.050000,30542
1,36,543.76,640.34,969,3,33.5,31405,3.831889,0.050000,31468
1,37,-611.11,658.14,1267,6,46.6,32208,3.643585,0.050000,32271
1,38,-1179.32,-77.07,548,4,19.8,32679,3.714452,0.050000,32742
1,39,-574.32,-284.98,657,6,24.4,33114,3.581991,0.050000,33177
1,40,-304.57,-333.25,501,3,17.9,33568,3.657916,0.050000,33631
1,41,497.71,-157.73,1238,3,42.5,34773,3.661268,0.050000,34836
1,42,1067.74,-100.06,1849,7,64.8,36283,3.435092,0.050000,36346
1,43,-349.17,-119.24,1043,6,36.9,37109,3.511496,0.050000,37172
1,44,-434.34,-138.36,1142,5,39.9,38088,3.766310,0.050000,38151
1,45,-1364.59,-270.82,219,3,8.6,38264,3.611361,0.050000,38327
1,46,-783.20,-403.52,552,3,19.6,38785,4.035048,0.050000,38848
1,47,420.00,-300.41,1263,4,43.6,39958,3.666816,0.050000,40021
1,48,-527.82,-235.26,677,5,27.5,40268,3.942938,0.050000,40331
1,49,-1005.74,-278.40,581,4,21.2,40776,3.604781,0.050000,40839
1,50,-700.97,-318.04,1063,7,42.0,41557,3.708156,0.050000,41620
1,51,2081.31,-159.68,2659,3,89.9,44168,3.660491,0.050000,44231
1,52,-512.20,-317.67,961,6,36.1,44853,3.910940,0.050000,44916
1,53,1049.53,-177.80,2335,5,79.7,47046,3.703789,0.050000,47109
1,54,-222.57,-156.63,606,3,21.5,47605,3.897428,0.050000,47668
1,55,-1089.84,-129.15,561,3,20.0,48123,3.859294,0.050000,48186
1,56,-1450.29,-195.86,435,3,15.8,48515,4.055628,0.050000,48578
1,57,615.60,-176.30,1611,4,55.6,50000,3.788353,0.050000,50000
1,58,-1291.64,-252.68,342,3,12.6,50299,3.855148,0.050000,50000
1,59,-1234.77,-275.58,407,3,14.8,50674,3.949413,0.050000,50000
1,60,592.27,-146.26,1022,7,39.1,50992,3.858119,0.050000,50000
1,61,611.86,-293.21,1672,7,61.6,52486,4.043738,0.050000,50000
1,62,950.85,-146.90,1793,5,61.7,54133,3.547075,0.050000,50000
1,63,-2.00,-252.05,980,6,34.9,54942,3.601896,0.050000,50000
1,64,-397.74,-269.57,393,3,14.3,55302,3.708480,0.050000,50000
1,65,349.66,-125.62,934,3,32.5,56193,3.553344,0.050000,50000
1,66,-381.59,-18.75,770,3,26.9,56930,3.519059,0.050000,50000
1,67,806.99,0.39,2374,6,87.8,58705,3.409595,0.050000,50000
1,68,-1204.16,9.14,707,4,25.1,59293,3.681699,0.050000,50000
1,69,72.37,139.85,1240,4,42.9,60433,3.550875,0.050000,50000
1,70,517.91,132.41,1250,5,43.6,61555,3.592542,0.050000,50000
1,71,-698.37,1.39,912,6,36.0,62030,3.553703,0.050000,50000
1,72,3273.34,233.64,2352,4,80.4,64223,3.602308,0.050000,50000
1,73,-592.71,174.57,426,5,19.2,64415,3.627758,0.050000,50000
1,74,-1360.14,78.33,307,3,11.5,64679,3.448086,0.050000,50000
1,75,-775.09,-34.15,295,4,11.7,64901,3.747913,0.050000,50000
1,76,-707.98,-66.78,524,3,18.8,65380,3.862876,0.050000,50000
1,77,848.94,-62.59,2034,6,70.0,67240,3.500236,0.050000,50000
1,78,108.81,68.71,1142,4,39.9,68284,3.363208,0.050000,50000
1,79,-176.44,43.83,1589,6,60.6,69375,3.604579,0.050000,50000
1,80,1438.29,135.86,1890,4,64.6,71186,3.612748,0.050000,50000
1,81,-907.61,114.94,534,5,20.0,71616,3.625340,0.050000,50000
1,82,1844.73,-27.92,2035,3,69.1,73619,3.616605,0.050000,50000
1,83,-932.70,-61.92,373,4,14.4,73892,3.892984,0.050000,50000
1,84,-1218.59,-47.76,389,3,14.8,74208,3.734214,0.050000,50000
1,85,-641.92,-34.45,826,3,28.8,74987,3.932225,0.050000,50000
1,86,-746.71,-38.32,275,4,11.0,74989,3.920257,0.050000,50000
1,87,-758.13,-199.03,484,3,17.3,75438,3.956169,0.050000,50000
1,88,147.76,-195.13,984,5,35.0,76269,4.044024,0.050000,50000
1,89,-389.97,-216.49,873,3,30.4,77095,3.904502,0.050000,50000
1,90,25.35,-357.78,967,4,33.8,77956,3.763970,0.050000,50000
1,91,-1440.04,-411.02,453,4,17.0,78301,4.388995,0.050000,50000
1,92,422.04,-553.29,1518,4,52.5,79595,3.981416,0.050000,50000
1,93,-732.80,-533.30,485,5,18.7,79909,3.850548,0.050000,50000
1,94,75.21,-403.92,935,5,33.0,80726,3.841746,0.050000,50000
1,95,-321.47,-371.88,564,5,21.0,81163,3.755647,0.050000,50000
1,96,-1303.69,-427.57,583,5,21.6,81588,4.107694,0.050000,50000
1,97,-127.24,-364.48,711,6,26.2,82081,4.121477,0.050000,50000
1,98,-1305.68,-509.83,394,4,15.0,82375,4.586782,0.050000,50000
1,99,-28.17,-473.65,1043,3,36.6,83336,3.977649,0.050000,50000
1,100,-151.56,-491.34,1961,6,75.4,84118,3.919276,0.050000,50000
